"TOA5","CR1000_SN6134","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","CVMeta"
"TS","RN","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees",""
"","","Avg","Tot","WVc","WVc","WVc","Max","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Smp"
"2024-04-03 12:29:00",60,0,0,0.12,71.93,0.672,0.12,22.6,1.8,1019.9,6.7,22.48,90,-90,""
"2024-04-03 12:30:00",61,0,0,0.115,71.22,1.784,0.12,22.6,1.816667,1019.917,6.6,22.5,90,-90,""
"2024-04-03 12:31:00",62,0,0,0.12,72.4,0.744,0.12,22.6,1.816667,1019.9,6.5,22.52,90,-90,""
"2024-04-03 12:32:00",63,0,0,0.118,71.67,2.209,0.12,22.6,1.8,1019.9,6.5,22.4,90,-90,""
"2024-04-03 12:33:00",64,0,0,0.118,72.32,0.869,0.12,22.6,1.8,1019.883,6.6,22.47,90,-90,""
"2024-04-03 12:34:00",65,0,0,0.112,68.27,4.834,0.12,22.6,1.8,1019.9,6.6,22.48,90,-90,""
"2024-04-03 12:35:00",66,0,0,0.118,71.52,3.252,0.12,22.6,1.8,1019.9,6.5,22.52,90,-90,""
"2024-04-03 12:36:00",67,0,0,0.118,72,1.622,0.12,22.6,1.8,1019.9,6.5,22.45,90,-90,""
"2024-04-03 12:37:00",68,0,0,0.122,71.9,2.002,0.13,22.6,1.8,1019.9,6.5,22.42,90,-90,""
"2024-04-03 12:38:00",69,0,0,0.122,71.18,1.819,0.13,22.6,1.8,1019.917,6.5,22.47,90,-90,""
"2024-04-03 12:39:00",70,0,0,0.12,72.12,1.312,0.13,22.58,1.8,1019.9,6.5,22.45,90,-90,""
"2024-04-03 12:40:00",71,0,0,0.12,72.45,2.024,0.13,22.6,1.8,1019.917,6.5,22.42,90,-90,""
"2024-04-03 12:41:00",72,0,0,0.12,72.22,1.54,0.12,22.5,1.8,1019.9,6.5,22.43,90,-90,""
"2024-04-03 12:42:00",73,0,0,0.12,73.33,0.993,0.12,22.52,1.8,1019.9,6.5,22.42,90,-90,""
"2024-04-05 09:18:00",74,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-05 09:16:00",75,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-05 09:17:00",76,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-05 09:18:00",77,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-05 09:19:00",78,"NAN","NAN","NAN",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-04-05 12:54:00",79,297.5,0,1.43,190.8,14.79,1.68,-17.75,0.7499999,1001.8,49.8,-8.4,-1.25,0.6,""
"2024-04-05 12:55:00",80,296.7,0,2.07,213.5,5.278,2.41,-17.73,0.7333333,1001.717,48,-8.62,-2.15,1.117,""
"2024-04-05 12:56:00",81,296,0,2.107,215.4,8.53,2.51,-17.77,0.7,1001.7,48.5,-9.05,-1.95,1.083,""
"2024-04-05 12:57:00",82,296,0,1.835,214.3,4.965,1.97,-17.62,0.7,1001.7,48.1,-9.35,-1.9,1.167,""
"2024-04-05 12:58:00",83,295.8,0,1.983,211.3,3.933,2.22,-17.87,0.7,1001.683,51.4,-9.58,-3.883,1.5,""
"2024-04-05 12:59:00",84,294.8,0,2.21,213.3,2.997,2.53,-18.22,0.7,1001.7,49.9,-9.9,-2.083,0.217,""
"2024-04-05 13:00:00",85,295,0,1.905,217.3,1.681,2.1,-17.95,0.7,1001.65,48.9,-10.18,-2.517,0.55,""
"2024-04-05 13:01:00",86,293.7,0,1.972,211.7,3.449,2.15,-18.25,0.7,1001.617,51.7,-10.42,-0.25,0.083,""
"2024-04-05 13:02:00",87,293.3,0,2.05,211.4,3.869,2.31,-18.27,0.7,1001.6,50,-10.6,-2.75,0.033,""
"2024-04-05 13:03:00",88,293.3,0,1.858,213.7,3.581,2.11,-18.17,0.7,1001.6,50.4,-10.87,-5.3,0.567,""
"2024-04-05 13:04:00",89,293.2,0,2.183,211.2,4.488,2.29,-18.15,0.7,1001.5,50.9,-11.03,-2.017,1.25,""
"2024-04-05 13:05:00",90,292.5,0,2.09,207.9,2.577,2.22,-18.4,0.7,1001.5,51.4,-11.22,-2.017,1.267,""
